loss,acc,test_loss,test_acc
0.81853,0.750,0.85852,0.72375
0.93254,0.750,0.84999,0.72813
0.67519,0.812,0.81891,0.72937
0.36670,0.875,0.85398,0.72688
0.78355,0.625,0.85455,0.71625
0.70780,0.750,0.87772,0.72250
0.73073,0.750,0.86586,0.71688
1.18978,0.812,0.83720,0.73000
1.13931,0.688,0.86586,0.72375
0.45350,0.875,0.86082,0.72062
0.55709,0.875,0.84030,0.72625
0.64377,0.750,0.92111,0.70937
1.05610,0.500,0.85390,0.71937
0.44926,0.812,0.83322,0.72937
0.38475,0.938,0.85273,0.71937
0.62257,0.750,0.92819,0.69688
0.76214,0.750,0.88926,0.71937
0.22480,0.938,0.83266,0.73750
0.71145,0.812,0.85987,0.73062
0.36273,0.875,0.85770,0.71875
0.97513,0.750,0.84136,0.72250
0.63477,0.812,0.80360,0.73500
0.32455,0.875,0.85711,0.72813
0.71115,0.688,0.79353,0.75187
0.41666,0.875,0.81278,0.74000
0.56772,0.688,0.82128,0.73813
0.58463,0.875,0.83249,0.72813
0.91902,0.688,0.78586,0.74375
1.03635,0.625,0.84660,0.73625
0.70666,0.812,0.87553,0.71625
1.57733,0.562,0.79947,0.74438
0.38864,0.938,0.81677,0.73313
0.50305,0.812,0.80932,0.74000
0.51355,0.688,0.83693,0.73125
0.52366,0.875,0.81339,0.73875
0.25536,0.938,0.83511,0.72250
0.24380,0.938,0.76243,0.74562
0.78909,0.688,0.83880,0.72125
0.61885,0.688,0.84259,0.73000
0.70054,0.750,0.88865,0.70937
1.45293,0.750,0.84236,0.71937
0.76461,0.688,0.83897,0.73250
0.31893,0.938,0.84141,0.73750
1.63726,0.500,0.80132,0.73875
0.73768,0.688,0.82295,0.73125
0.86269,0.688,0.78116,0.75062
0.70517,0.875,0.83276,0.73625
1.20551,0.688,0.79513,0.73500
0.95476,0.688,0.85012,0.72813
0.42726,0.875,0.81432,0.73562
1.02694,0.688,0.85936,0.70875
0.30154,0.938,0.79798,0.72625
0.36653,0.750,0.80679,0.73562
0.53394,0.812,0.78916,0.73062
0.85112,0.688,0.83537,0.72062
1.02006,0.750,0.84935,0.71437
0.60779,0.688,0.86943,0.72688
0.35545,0.812,0.81407,0.74062
0.99444,0.750,0.79892,0.73000
0.46134,0.875,0.81775,0.73562
0.26600,0.938,0.81812,0.73375
0.74248,0.750,0.81060,0.73938
0.35664,0.875,0.83370,0.71750
0.20514,0.938,0.79461,0.73250
0.45439,0.875,0.80455,0.73625
0.39609,0.875,0.80113,0.74438
0.47792,0.812,0.78205,0.74313
0.76349,0.688,0.79037,0.74813
0.51234,0.812,0.89938,0.72000
0.53827,0.750,0.80797,0.73313
0.88463,0.812,0.83254,0.73687
1.24583,0.688,0.75611,0.75625
0.86637,0.688,0.80359,0.74250
0.85266,0.562,0.76250,0.75187
0.27683,0.875,0.86797,0.72562
0.68805,0.750,0.85125,0.71813
0.46284,0.875,0.82516,0.73438
0.97032,0.500,0.81705,0.73500
0.71754,0.688,0.80531,0.75062
0.65311,0.875,0.80515,0.73375
0.64122,0.750,0.80060,0.74062
0.59440,0.875,0.82405,0.73687
0.39206,0.875,0.80549,0.73813
0.45705,0.812,0.78621,0.75250
0.52862,0.812,0.80148,0.73438
0.58655,0.750,0.79929,0.73313
0.36149,0.875,0.80182,0.73750
0.76727,0.812,0.76307,0.74562
0.92259,0.688,0.78098,0.74687
0.28196,0.875,0.77523,0.74062
0.50792,0.812,0.73992,0.75750
0.21028,0.938,0.77740,0.74813
0.42095,0.812,0.78201,0.75375
0.53196,0.812,0.76676,0.74313
0.92567,0.688,0.77106,0.75313
0.71167,0.688,0.72394,0.76062
0.40352,0.938,0.78519,0.74500
0.11222,1.000,0.75856,0.74438
0.27502,1.000,0.77904,0.74687
1.05746,0.688,0.81388,0.74750
0.33640,0.938,0.77642,0.75687
0.72923,0.812,0.79001,0.75750
0.51004,0.875,0.82457,0.74500
0.59404,0.812,0.77159,0.74687
0.46370,0.812,0.77748,0.73687
0.66201,0.750,0.75909,0.74938
0.26937,0.875,0.82485,0.73188
0.30629,0.875,0.80896,0.73625
0.32784,0.875,0.79132,0.73625
0.65381,0.812,0.78235,0.75062
0.27157,0.875,0.79061,0.73313
0.97260,0.625,0.78215,0.74250
0.66499,0.750,0.76143,0.74938
1.04100,0.625,0.77334,0.75250
0.29212,0.938,0.79562,0.74500
0.62384,0.812,0.76405,0.74438
0.55659,0.750,0.82528,0.74187
0.47391,0.750,0.79903,0.73813
0.19257,0.938,0.78546,0.74875
0.12577,1.000,0.78981,0.74313
0.38277,0.875,0.87781,0.72750
0.37849,0.875,0.79391,0.73938
0.47882,0.812,0.78998,0.74938
0.53987,0.688,0.77747,0.75125
0.52273,0.750,0.76916,0.75250
0.59385,0.812,0.76260,0.75375
0.67929,0.812,0.76066,0.75313
0.48853,0.812,0.73622,0.76000
0.47093,0.875,0.86275,0.72062
