loss,acc,test_loss,test_acc
0.37317,0.938,0.85675,0.71250
0.46299,0.812,0.91199,0.68375
0.61653,0.812,0.85091,0.71625
1.04061,0.625,0.82216,0.72813
0.53018,0.812,0.90150,0.69688
0.86726,0.812,0.96505,0.67937
1.18882,0.750,0.90550,0.70750
0.77637,0.875,0.87751,0.69875
0.32107,0.938,0.88647,0.69625
0.67497,0.875,0.86411,0.70625
1.51407,0.562,0.92560,0.68188
1.26201,0.625,0.92623,0.70250
0.46492,0.875,0.90211,0.69000
0.75383,0.688,0.84153,0.72188
1.08389,0.688,0.92312,0.68625
0.50190,0.812,0.89540,0.70937
1.09434,0.688,0.97137,0.67437
0.46640,0.812,0.90422,0.69688
0.76182,0.625,0.90657,0.71000
0.34628,0.938,0.91196,0.68437
0.42034,0.812,0.88134,0.70500
0.35150,0.875,0.87931,0.70750
0.57192,0.750,0.88130,0.71250
0.80653,0.625,0.85119,0.71813
0.55134,0.812,0.91112,0.69312
0.35870,0.938,0.88236,0.70875
0.94196,0.625,0.83434,0.72375
1.08187,0.625,0.88072,0.70750
0.26664,0.875,0.85589,0.72313
0.53090,0.812,0.93339,0.70188
0.22245,1.000,0.97340,0.67563
0.55541,0.875,0.90605,0.69688
0.83372,0.750,0.88688,0.71500
0.86444,0.750,0.85707,0.70437
0.42653,0.812,0.91942,0.68937
0.71099,0.875,0.93633,0.68063
0.84127,0.688,0.84037,0.72062
0.39297,0.938,0.88107,0.70000
0.87304,0.625,0.91134,0.70875
0.92487,0.688,0.82146,0.71250
0.49818,0.875,0.83831,0.71750
1.10733,0.625,0.90191,0.70000
0.63081,0.750,0.91136,0.69750
0.48010,0.875,0.88699,0.69125
0.71486,0.875,0.84918,0.71062
0.38505,0.875,0.85327,0.71562
0.44319,0.938,0.87325,0.71562
0.67785,0.750,0.83948,0.71688
0.65903,0.812,0.85954,0.71313
0.72747,0.750,0.85979,0.71625
0.81506,0.688,0.86978,0.72188
0.75587,0.625,0.86681,0.72875
0.59219,0.750,0.87556,0.70312
0.48662,0.875,0.88724,0.72250
0.52173,0.875,0.81244,0.73000
0.54037,0.750,0.88129,0.70562
0.81061,0.750,0.85785,0.72188
0.22101,1.000,0.85837,0.71625
0.90122,0.750,0.83998,0.73062
0.74905,0.875,0.83805,0.71937
0.65438,0.750,0.84311,0.71500
0.47381,0.812,0.89197,0.70188
0.74182,0.750,0.98141,0.66687
0.71373,0.750,0.86219,0.71813
0.90307,0.625,0.79406,0.73375
0.60465,0.750,0.92771,0.70562
0.56931,0.688,0.82625,0.72625
0.82267,0.875,0.84057,0.71937
0.99267,0.625,0.82992,0.72875
0.85712,0.812,0.78352,0.74187
0.54052,0.812,0.80681,0.74187
0.78652,0.750,0.87725,0.71375
0.98250,0.688,0.87662,0.71437
0.31708,0.938,0.82053,0.72875
0.92062,0.688,0.82610,0.72313
0.43832,0.812,0.86125,0.71375
0.54787,0.812,0.82936,0.73250
0.58462,0.750,0.82304,0.72437
0.71900,0.625,0.84179,0.72188
0.46325,0.812,0.89268,0.70937
1.07340,0.688,0.80673,0.73875
0.22692,0.938,0.82217,0.73375
1.28749,0.625,0.85679,0.72688
0.41495,0.875,0.82851,0.72188
0.56299,0.812,0.80604,0.74375
0.49133,0.812,0.89994,0.71875
0.36557,0.812,0.85267,0.72875
0.20194,0.938,0.83676,0.72813
1.05890,0.625,0.79409,0.74187
1.16171,0.625,0.88436,0.71375
1.30784,0.750,0.82149,0.72750
