loss,acc,test_loss,test_acc
0.38331,0.812,0.79002,0.74062
0.59596,0.875,0.86289,0.71500
0.37438,0.875,0.81947,0.71813
1.05862,0.625,0.82483,0.73438
0.31628,0.938,0.79613,0.73438
0.85270,0.688,0.81872,0.74062
0.34008,0.875,0.92894,0.69250
0.68774,0.750,0.83795,0.73813
0.13197,1.000,0.92663,0.70625
0.74833,0.812,0.81902,0.74313
0.38018,0.812,0.87485,0.71188
1.05064,0.750,0.95792,0.67312
0.93122,0.750,1.22427,0.57437
0.44632,0.812,0.90302,0.70000
0.45971,0.812,0.85679,0.73438
1.04328,0.750,1.05529,0.61813
0.47931,0.875,1.06795,0.64375
0.26141,0.938,0.81993,0.73375
0.47069,0.812,0.84145,0.72125
0.13902,0.938,0.92896,0.69375
0.22814,0.938,0.85428,0.71750
0.51204,0.812,0.86949,0.71875
0.23868,0.875,0.97711,0.67312
0.60970,0.812,0.83024,0.71688
0.93339,0.750,0.86064,0.72000
0.37860,0.812,0.88999,0.71813
0.22227,0.938,0.77900,0.74625
0.31608,0.812,0.84146,0.72625
0.24045,0.938,0.85159,0.73000
0.82984,0.812,0.86678,0.72750
0.46922,0.875,0.85257,0.72375
1.28290,0.688,0.79339,0.74000
0.12687,1.000,1.03110,0.64375
0.56558,0.750,1.06760,0.63687
0.45604,0.812,1.03513,0.65250
0.19260,0.938,0.80934,0.74250
0.40502,0.750,0.84704,0.71750
0.09572,1.000,0.83022,0.72813
0.62621,0.750,0.96252,0.67625
0.43134,0.812,0.85229,0.72562
0.52152,0.812,1.02206,0.65187
0.37458,0.938,0.89687,0.69250
0.63510,0.688,1.14169,0.60000
0.84066,0.688,1.02503,0.62938
0.60964,0.875,0.79607,0.75250
0.43276,0.875,0.92901,0.68625
0.50330,0.812,0.81617,0.72062
1.16693,0.500,1.15268,0.58688
0.73309,0.750,0.80269,0.74187
0.69261,0.688,0.88642,0.70937
0.42611,0.875,1.14584,0.56625
0.39936,0.875,0.76343,0.74750
0.55342,0.812,0.77789,0.75375
0.83835,0.812,0.84873,0.73000
0.45242,0.812,1.26141,0.56437
0.52765,0.812,0.80747,0.74562
0.41578,0.875,0.80874,0.74625
0.23609,0.875,0.81691,0.73375
0.50307,0.875,0.80659,0.73750
0.90218,0.750,0.76910,0.74687
0.55260,0.812,0.93975,0.66312
0.28720,0.875,1.00244,0.66500
0.59290,0.812,0.82799,0.73375
0.39264,0.875,0.96018,0.68250
0.63836,0.812,0.79200,0.74750
0.58963,0.875,0.85578,0.70813
0.22395,0.938,1.02833,0.62687
0.33707,0.875,0.92731,0.67875
0.48615,0.875,0.82913,0.72500
0.80953,0.625,0.80289,0.74250
0.72270,0.750,0.78685,0.74187
0.19937,0.938,0.95377,0.68125
1.13235,0.688,0.88442,0.71250
0.41476,0.875,0.81194,0.73313
0.45020,0.812,0.87148,0.70688
0.92837,0.750,0.99481,0.67437
0.25339,0.875,0.86471,0.70875
0.88437,0.688,0.76813,0.74813
0.81235,0.688,0.81857,0.72875
0.13680,1.000,1.02929,0.64125
0.35830,0.812,0.87121,0.71750
0.52143,0.875,0.86256,0.71250
0.52642,0.875,0.79578,0.74375
0.38110,0.875,0.81116,0.72937
0.56285,0.812,0.76947,0.74938
0.36979,0.875,0.74590,0.75562
0.73791,0.812,0.77949,0.73750
0.38142,0.812,0.82050,0.73750
0.29199,0.938,0.91752,0.70000
0.76440,0.750,0.78308,0.73250
0.29378,0.812,0.82288,0.73438
0.43822,0.938,1.01454,0.64563
0.41320,0.875,0.79139,0.74187
0.29761,0.875,0.80775,0.74250
0.42728,0.812,0.89299,0.71250
0.50738,0.875,0.83195,0.73500
0.38783,0.875,0.79728,0.73750
0.62580,0.750,0.86044,0.72500
0.46685,0.875,0.90435,0.71062
0.18637,0.938,0.78530,0.74062
0.43492,0.750,0.87906,0.72313
0.41971,0.875,1.12360,0.57375
0.77199,0.750,0.86553,0.72250
0.55835,0.750,0.83207,0.73250
0.75563,0.875,1.06384,0.63562
0.32720,0.875,0.84785,0.71750
0.13695,1.000,0.83437,0.72375
0.36057,0.812,0.93584,0.69500
0.40998,0.812,0.79073,0.74875
0.19188,1.000,0.74977,0.74813
0.75299,0.688,0.99081,0.67437
0.19002,1.000,0.80529,0.73687
0.47560,0.875,0.77575,0.75250
0.20651,0.938,0.85478,0.71125
0.30412,0.875,0.87256,0.72062
0.88768,0.688,1.05829,0.63438
0.09592,1.000,1.09283,0.62500
0.45370,0.812,0.74916,0.75687
0.33001,0.875,0.75596,0.75438
0.49304,0.875,0.81535,0.73250
0.28759,0.875,0.79846,0.75062
0.35396,0.875,0.85148,0.71937
0.10785,1.000,0.86237,0.71313
0.51107,0.938,0.97220,0.69000
0.88346,0.688,0.79254,0.74250
0.26036,0.938,0.86634,0.71750
0.48371,0.875,0.85827,0.71062
0.37615,0.812,0.84785,0.72437
0.36968,0.938,0.89500,0.69375
0.93245,0.688,0.87216,0.71625
0.17733,0.938,0.83807,0.72500
0.31462,0.938,0.94443,0.67188
0.24670,0.938,0.83142,0.72500
0.24855,0.812,0.89242,0.69250
0.24994,0.875,0.78654,0.74062
0.17567,0.938,0.97616,0.66875
0.63437,0.812,0.80787,0.73875
0.10712,1.000,0.83545,0.72625
0.41387,0.812,0.88801,0.69625
0.33946,0.875,0.78452,0.74562
0.40172,0.938,0.82463,0.72125
0.30633,0.938,0.82254,0.72937
0.83033,0.688,0.79618,0.74438
0.34486,0.938,0.78107,0.74813
0.65619,0.875,0.85266,0.72375
0.25705,0.938,0.96914,0.67063
0.58944,0.750,0.98722,0.64250
0.39211,0.875,0.90420,0.69563
0.12998,1.000,0.84297,0.72375
0.33745,0.812,0.91972,0.69625
0.50569,0.750,0.78981,0.74062
0.83581,0.625,0.84484,0.71500
0.41643,0.875,0.85531,0.71813
0.25376,0.938,1.06706,0.60562
0.26815,0.875,0.76521,0.74625
1.01002,0.625,0.76802,0.75813
0.30826,0.875,0.90027,0.70250
0.35397,0.875,0.79556,0.73625
0.13489,0.938,1.12320,0.61062
0.23697,0.938,1.09155,0.60500
0.42065,0.812,0.87552,0.71062
0.31973,0.938,0.82394,0.72750
0.35420,0.875,0.82323,0.72937
0.38596,0.812,0.89728,0.70688
0.23849,0.938,0.77965,0.75687
0.84681,0.688,0.80108,0.74062
0.64553,0.750,0.83326,0.74938
0.43375,0.875,0.80932,0.73188
0.25407,0.938,0.87327,0.71500
0.21830,0.938,0.84947,0.73438
0.45569,0.812,0.74757,0.75687
0.28437,0.875,0.88512,0.71062
0.63938,0.750,0.78899,0.75000
0.71533,0.812,0.78029,0.74875
0.73786,0.750,0.80212,0.73562
0.49666,0.750,0.81428,0.73875
0.11462,1.000,0.85241,0.72500
0.71862,0.750,0.84605,0.73562
0.23094,0.875,0.80494,0.74562
0.99586,0.750,0.88486,0.70813
0.53857,0.875,0.84604,0.71813
0.29980,0.875,0.80043,0.73313
0.31547,0.938,0.86349,0.71062
0.17831,0.875,0.83941,0.72937
0.39268,0.812,0.95880,0.67563
0.73880,0.875,0.83848,0.72625
0.27015,0.938,0.82663,0.72625
0.32868,0.875,0.78747,0.74687
0.19158,0.938,0.76242,0.76062
0.52832,0.875,0.81891,0.73000
0.31474,0.875,0.80957,0.73250
0.28077,0.875,0.82152,0.73813
0.16352,0.938,0.78177,0.75062
0.06700,1.000,0.92321,0.69500
0.21787,0.938,0.77624,0.74875
1.06229,0.688,0.94603,0.67500
0.22359,0.938,0.80008,0.73750
0.42420,0.812,0.88419,0.71125
0.19540,0.938,0.90480,0.70375
0.15908,0.938,0.80964,0.74187
0.55242,0.750,0.81616,0.73375
0.30597,0.938,0.81783,0.73687
0.37328,0.812,0.79160,0.73250
0.55140,0.688,0.77509,0.74813
0.31924,0.875,0.77502,0.74625
0.26220,0.938,0.77253,0.74500
0.24063,0.938,1.07857,0.63500
0.49225,0.938,0.83132,0.73125
0.17456,1.000,0.85994,0.72625
1.29147,0.625,0.86971,0.71375
0.89067,0.625,0.96057,0.68125
0.48981,0.812,1.12040,0.61813
0.30233,0.938,0.93161,0.71062
0.31083,0.938,0.87654,0.71125
0.63255,0.812,0.78506,0.74125
2.15166,0.812,0.85996,0.72625
0.23300,0.938,0.85850,0.71562
0.45019,0.812,0.83597,0.72562
0.38232,0.875,0.80205,0.74250
0.07624,1.000,0.95863,0.68563
0.17717,0.938,0.78142,0.74938
0.51010,0.875,0.78632,0.73813
0.45230,0.875,0.78012,0.72875
0.26747,0.938,0.83920,0.72875
0.14995,0.938,0.80564,0.74062
0.90253,0.625,0.85447,0.73125
0.28830,0.875,0.96068,0.67625
0.43545,0.875,0.97952,0.67000
0.26281,0.875,0.84757,0.72375
0.26691,0.938,0.80049,0.74313
0.25850,0.875,0.81536,0.73250
0.25234,0.875,0.93481,0.69000
0.14243,1.000,0.83553,0.72188
0.22448,0.938,0.85395,0.72375
0.33632,0.875,0.79033,0.74875
0.36380,0.938,0.88066,0.71750
0.18524,0.938,1.13169,0.59500
0.51555,0.812,0.75920,0.74875
0.27356,1.000,0.84279,0.72750
0.75525,0.812,0.92131,0.69000
0.59999,0.812,0.89872,0.70375
0.13810,1.000,0.85959,0.71437
0.65953,0.688,0.78890,0.74187
0.09257,1.000,0.82015,0.73062
0.62368,0.750,1.08465,0.59750
0.18470,0.938,0.81574,0.73250
0.45664,0.938,0.79486,0.73875
0.16978,1.000,0.80422,0.72688
0.29084,0.875,0.91251,0.70000
1.03067,0.625,0.85020,0.72125
0.85720,0.688,0.95746,0.69500
0.31384,0.875,0.80572,0.72813
0.40756,0.938,0.80623,0.73625
0.26456,0.875,0.82995,0.73375
0.55276,0.812,0.81914,0.74000
0.74447,0.812,0.78337,0.75813
0.24986,0.938,0.81976,0.74250
0.57280,0.812,0.83836,0.73250
0.17788,0.938,0.83110,0.73250
