loss,acc,test_loss,test_acc
0.46762,0.750,0.76662,0.72250
0.60038,0.812,0.77017,0.74313
0.40177,0.938,0.75963,0.74938
0.66356,0.750,0.79382,0.72562
0.96639,0.562,0.78052,0.73188
0.56834,0.812,0.74962,0.74500
0.63833,0.750,0.77790,0.74938
0.94446,0.750,0.77203,0.74813
0.22293,0.875,0.75686,0.74687
0.59994,0.688,0.77720,0.73938
0.57527,0.812,0.80474,0.73625
0.83894,0.688,0.80785,0.72375
0.94138,0.688,0.91555,0.69375
0.63918,0.875,0.77980,0.74500
0.55263,0.750,0.85787,0.70188
0.47153,0.812,0.89249,0.70063
0.51259,0.750,0.76079,0.74562
1.29841,0.625,0.86104,0.70937
0.44519,0.875,0.80337,0.74125
0.61875,0.812,0.81102,0.72125
0.54536,0.812,0.76452,0.74375
0.70172,0.750,0.78162,0.73562
0.44881,0.875,0.77966,0.75250
0.77205,0.750,0.76196,0.75062
0.53850,0.812,0.75769,0.74313
0.43202,0.812,0.78730,0.73375
0.92251,0.688,0.81587,0.73625
0.41027,0.875,0.80144,0.72313
0.39693,0.875,0.76526,0.74438
0.36975,0.812,0.77468,0.74250
0.93823,0.688,0.75220,0.74875
0.72860,0.625,0.81574,0.73375
0.45186,0.812,0.78425,0.72625
0.69653,0.750,0.75171,0.73750
0.93496,0.875,0.75166,0.74875
0.66018,0.750,0.79153,0.73313
0.38337,0.938,0.78694,0.73813
0.87639,0.812,0.75667,0.74062
0.48507,0.750,0.74382,0.75438
0.44987,0.688,0.77174,0.74313
0.50877,0.750,0.73537,0.75500
0.47315,0.812,0.76231,0.73750
0.59944,0.812,0.81986,0.71437
0.33550,0.938,0.78868,0.73438
0.27532,0.938,0.74947,0.74625
0.52807,0.812,0.85498,0.71937
0.32976,0.875,0.79779,0.73375
0.50491,0.812,0.77520,0.74125
0.57437,0.812,0.84061,0.71750
0.13693,1.000,0.76657,0.74438
0.24991,0.875,0.79982,0.73375
0.31606,0.938,0.79053,0.73125
0.45445,0.875,0.78814,0.73500
0.28645,0.812,0.78877,0.74125
0.53160,0.812,0.82010,0.73062
0.70903,0.688,0.79928,0.72750
0.67537,0.750,0.85212,0.70750
0.39711,0.875,0.75906,0.74625
0.41381,0.812,0.74436,0.74875
0.13560,1.000,0.74070,0.75625
0.66294,0.688,0.85992,0.71313
0.54019,0.875,0.75985,0.74313
0.93884,0.688,0.75900,0.73687
0.39010,0.875,0.72846,0.75875
0.16406,1.000,0.77897,0.74000
0.73024,0.812,0.76217,0.73750
0.35432,0.875,0.84161,0.71437
0.51777,0.688,0.76181,0.75313
0.63071,0.688,0.75422,0.74500
0.38829,0.812,0.73750,0.75125
0.50471,0.688,0.75179,0.74813
0.60419,0.750,0.76934,0.73938
0.77880,0.688,0.72941,0.74813
0.17429,1.000,0.79871,0.72500
0.74937,0.750,0.76970,0.73313
0.42883,0.938,0.77443,0.73188
1.15941,0.625,0.74702,0.73750
0.35919,0.938,0.73908,0.75375
0.29327,0.938,0.77866,0.73813
0.11750,1.000,0.73630,0.74813
0.12937,1.000,0.77258,0.73625
0.64104,0.875,0.75239,0.74813
0.33801,0.875,0.74302,0.74000
0.40472,0.875,0.77695,0.73813
1.08049,0.625,0.77861,0.74313
0.39755,0.812,0.77575,0.74313
