loss,acc,epoch
0.36280,0.938,1499
0.53543,0.750,1599
0.32785,0.938,1699
0.36132,0.812,1799
0.31308,0.875,1899
0.04015,1.000,1999
0.79467,0.750,2099
0.30365,0.938,2199
0.23375,0.938,2299
0.54294,0.812,2399
0.44746,0.750,2499
0.33277,0.875,2599
0.31911,0.875,2699
0.51360,0.812,2799
0.57686,0.750,2899
0.39050,0.875,2999
0.36961,0.812,3099
0.46467,0.875,3199
0.53847,0.812,3299
0.05160,1.000,3399
0.17737,0.938,3499
0.17685,1.000,3599
0.52268,0.875,3699
0.21885,0.938,3799
0.20046,0.875,3899
0.21231,0.938,3999
0.29257,0.938,4099
0.11252,1.000,4199
0.28809,0.812,4299
0.03892,1.000,4399
0.41953,0.938,4499
0.22589,0.938,4599
0.36286,0.875,4699
0.08945,1.000,4799
0.69636,0.625,4899
0.05289,1.000,4999
0.21744,0.875,5099
0.45975,0.938,5199
0.61747,0.750,5299
0.59268,0.875,5399
0.31155,0.938,5499
0.58795,0.875,5599
0.22226,0.875,5699
0.32855,0.875,5799
0.11199,1.000,5899
0.49172,0.812,5999
0.70541,0.812,6099
0.25808,0.938,6199
0.10550,1.000,6299
0.44503,0.812,6399
0.34377,0.875,6499
0.17721,0.938,6599
0.24245,0.938,6699
0.67098,0.875,6799
0.17613,0.938,6899
0.29511,0.938,6999
0.39014,0.875,7099
0.49716,0.875,7199
0.36965,0.875,7299
0.24074,0.938,7399
0.44632,0.875,7499
0.42079,0.812,7599
0.69976,0.875,7699
0.46485,0.812,7799
0.06903,1.000,7899
0.51467,0.812,7999
0.51123,0.938,8099
0.45601,0.812,8199
0.20759,0.938,8299
0.11087,0.938,8399
0.45966,0.750,8499
0.29780,0.938,8599
0.31842,0.938,8699
0.63181,0.812,8799
0.24679,0.938,8899
0.20817,0.875,8999
0.21217,0.938,9099
0.25571,0.938,9199
0.17530,0.938,9299
0.19858,0.938,9399
0.29760,0.875,9499
0.12517,0.938,9599
0.09415,0.938,9699
0.37764,0.875,9799
0.31607,0.938,9899
0.38871,0.812,9999
0.37082,0.875,99
0.53234,0.750,199
0.45633,0.875,299
0.13191,0.938,399
0.11354,0.938,499
0.15084,0.938,599
0.57212,0.875,699
0.45221,0.875,799
0.59652,0.812,899
0.26640,0.875,999
0.38226,0.875,1099
0.33464,0.875,1199
0.37226,0.875,1299
0.25427,0.938,1399
0.36516,0.812,1499
0.40411,0.812,1599
0.16611,0.938,1699
0.07952,1.000,1799
0.50606,0.750,1899
0.41793,0.812,1999
0.59605,0.750,2099
0.35358,0.875,2199
0.29262,0.875,2299
0.08229,1.000,2399
0.41927,0.812,2499
0.58726,0.812,2599
0.37494,0.812,2699
0.28649,0.875,2799
0.50763,0.875,2899
0.13725,1.000,2999
0.29168,0.875,3099
0.18235,0.938,3199
0.43786,0.812,3299
0.72051,0.812,3399
0.23711,0.875,3499
0.11955,0.938,3599
0.28133,0.875,3699
0.08899,1.000,3799
0.31158,0.938,3899
0.53165,0.875,3999
0.47426,0.875,4099
0.06202,1.000,4199
0.10842,0.938,4299
0.32638,0.875,4399
0.20451,0.875,4499
0.16032,0.938,4599
1.01871,0.812,4699
0.28110,0.875,4799
0.31352,0.875,4899
0.22889,0.875,4999
0.38869,0.875,5099
0.64309,0.875,5199
0.58930,0.875,5299
0.20411,0.938,5399
0.07221,1.000,5499
0.28492,0.875,5599
0.70535,0.750,5699
0.15252,0.938,5799
0.33520,0.875,5899
0.50078,0.812,5999
0.24526,0.875,6099
0.30424,0.938,6199
0.22724,0.938,6299
0.55851,0.938,6399
0.25195,0.938,6499
0.68516,0.812,6599
0.12028,0.938,6699
0.53584,0.812,6799
0.43213,0.875,6899
0.15452,0.938,6999
0.37672,0.812,7099
0.36223,0.875,7199
0.40551,0.812,7299
0.37955,0.875,7399
0.19161,0.875,7499
0.15144,0.938,7599
0.13170,0.938,7699
0.32648,0.750,7799
0.13812,0.938,7899
0.43599,0.875,7999
0.02391,1.000,8099
0.35301,0.875,8199
0.26094,0.938,8299
0.29857,0.875,8399
0.27494,0.875,8499
0.27589,0.812,8599
0.21758,0.875,8699
0.39100,0.812,8799
0.16626,0.938,8899
0.17173,0.938,8999
0.22210,0.938,9099
0.29205,0.875,9199
0.24224,0.938,9299
0.10935,0.938,9399
0.35312,0.812,9499
0.08946,0.938,9599
0.38988,0.938,9699
0.10426,1.000,9799
0.18521,0.875,9899
0.04155,1.000,9999
0.15946,0.938,99
0.08916,1.000,199
0.11985,0.938,299
0.07568,0.938,399
0.58971,0.812,499
0.26422,0.938,599
0.18453,0.938,699
0.43957,0.812,799
0.17858,0.938,899
0.01616,1.000,999
0.18695,0.938,1099
0.20139,0.875,1199
0.36501,0.875,1299
0.17200,0.938,1399
0.14950,1.000,1499
0.26675,0.875,1599
0.30961,0.938,1699
0.14564,0.938,1799
0.40984,0.875,1899
0.30512,0.875,1999
0.43169,0.875,2099
0.40639,0.812,2199
0.34860,0.938,2299
0.17360,0.938,2399
0.06409,1.000,2499
0.74201,0.812,2599
0.07860,1.000,2699
0.40978,0.812,2799
0.26417,0.938,2899
0.38834,0.812,2999
0.07925,1.000,3099
0.01612,1.000,3199
0.06192,1.000,3299
0.20815,0.938,3399
0.04679,1.000,3499
0.35955,0.875,3599
0.37575,0.875,3699
0.10474,0.938,3799
0.10088,1.000,3899
0.23825,0.875,3999
0.55905,0.750,4099
0.28495,0.938,4199
0.70986,0.750,4299
0.23654,0.938,4399
0.07347,1.000,4499
0.45286,0.875,4599
0.26551,0.875,4699
0.34706,0.812,4799
0.04771,1.000,4899
0.29115,0.875,4999
0.27115,0.812,5099
0.14667,0.938,5199
0.27224,0.875,5299
0.44877,0.812,5399
0.25373,0.875,5499
0.30115,0.875,5599
0.09515,0.938,5699
0.12900,0.938,5799
0.10428,1.000,5899
0.09730,0.938,5999
0.09182,1.000,6099
0.37767,0.875,6199
0.38490,0.875,6299
0.32067,0.875,6399
0.13626,0.938,6499
0.16841,0.938,6599
0.44583,0.875,6699
0.32367,0.875,6799
0.13815,0.938,6899
0.00962,1.000,6999
0.14992,0.938,7099
0.25622,0.938,7199
0.23301,0.875,7299
0.03490,1.000,7399
0.22268,0.938,7499
0.04002,1.000,7599
0.15610,1.000,7699
0.29792,0.875,7799
1.00831,0.750,7899
0.34354,0.812,7999
0.02788,1.000,8099
0.29934,0.812,8199
0.18784,0.938,8299
0.27227,0.875,8399
0.27438,0.875,8499
0.25812,0.875,8599
0.30429,0.812,8699
0.37629,0.812,8799
0.06892,1.000,8899
0.14501,0.938,8999
0.29295,0.875,9099
0.06121,1.000,9199
0.34126,0.875,9299
0.08958,1.000,9399
0.22586,0.938,9499
0.08850,1.000,9599
0.07257,1.000,9699
0.02491,1.000,9799
0.10558,0.938,9899
0.07874,1.000,9999
0.14368,0.938,99
0.30170,0.875,199
0.15170,0.938,299
0.64269,0.812,399
0.09253,0.938,499
0.29475,0.875,599
0.14912,0.938,699
0.25866,0.938,799
0.08337,1.000,899
0.19855,0.938,999
0.07448,1.000,1099
0.14806,0.938,1199
0.19144,0.938,1299
0.11234,1.000,1399
0.02368,1.000,1499
0.13502,1.000,1599
0.33492,0.875,1699
0.51310,0.938,1799
0.01842,1.000,1899
0.34352,0.812,1999
0.41645,0.875,2099
0.03317,1.000,2199
0.07502,1.000,2299
0.31127,0.938,2399
0.21066,0.938,2499
0.29509,0.875,2599
0.57664,0.750,2699
0.32882,0.938,2799
0.66633,0.875,2899
0.10997,0.938,2999
0.16943,0.938,3099
0.01326,1.000,3199
0.01001,1.000,3299
0.21807,0.875,3399
0.28334,0.938,3499
0.14173,0.875,3599
0.10559,1.000,3699
0.00669,1.000,3799
0.10992,0.938,3899
0.10249,1.000,3999
0.06044,1.000,4099
0.11544,0.938,4199
0.09927,1.000,4299
1.20253,0.750,4399
0.10220,0.938,4499
0.31401,0.938,4599
0.16254,0.938,4699
0.46035,0.750,4799
0.26283,0.875,4899
0.29534,0.875,4999
0.51315,0.812,5099
0.12082,1.000,5199
0.14908,1.000,5299
0.47609,0.875,5399
0.30262,0.875,5499
0.20692,0.938,5599
0.01262,1.000,5699
0.23521,0.938,5799
0.16851,1.000,5899
0.06118,1.000,5999
0.14042,0.938,6099
0.09033,0.938,6199
0.16924,0.938,6299
0.32000,0.875,6399
0.32721,0.812,6499
0.11453,0.938,6599
0.09970,1.000,6699
0.40434,0.938,6799
0.34439,0.938,6899
0.33725,0.812,6999
0.41534,0.875,7099
0.10071,1.000,7199
0.27114,0.875,7299
0.39329,0.875,7399
0.65466,0.875,7499
0.02955,1.000,7599
0.05927,1.000,7699
0.06500,0.938,7799
0.21006,0.938,7899
0.01908,1.000,7999
0.30279,0.938,8099
0.13436,0.938,8199
0.34929,0.875,8299
0.20949,0.938,8399
0.02699,1.000,8499
0.01631,1.000,8599
0.40862,0.938,8699
0.18581,0.938,8799
0.07291,1.000,8899
0.25277,0.938,8999
0.22522,0.938,9099
0.01647,1.000,9199
0.14287,0.938,9299
0.71289,0.875,9399
0.07072,1.000,9499
0.02140,1.000,9599
0.02485,1.000,9699
0.24325,0.938,9799
0.22138,0.938,9899
0.02725,1.000,9999
0.08648,1.000,99
0.17381,0.938,199
0.10884,0.938,299
0.16098,0.938,399
0.00551,1.000,499
0.12780,0.938,599
0.12506,0.938,699
0.08729,1.000,799
0.01370,1.000,899
0.24106,0.875,999
0.18766,0.938,1099
0.08203,1.000,1199
0.03256,1.000,1299
0.08954,1.000,1399
0.02920,1.000,1499
0.05769,1.000,1599
0.43861,0.875,1699
0.11018,1.000,1799
0.05523,1.000,1899
0.20636,0.875,1999
0.25938,0.875,2099
0.09706,1.000,2199
0.17479,0.875,2299
0.15448,0.938,2399
0.37462,0.812,2499
0.04567,1.000,2599
0.25741,0.875,2699
0.16616,0.938,2799
0.39678,0.875,2899
0.07575,0.938,2999
0.07944,1.000,3099
0.03661,1.000,3199
0.33110,0.938,3299
0.28325,0.875,3399
0.10236,0.938,3499
0.04101,1.000,3599
0.10405,1.000,3699
0.11222,0.938,3799
0.23970,0.938,3899
0.02775,1.000,3999
0.25328,0.875,4099
