loss,acc
0.01936,1.000
0.07946,1.000
0.21814,0.938
0.66408,0.875
0.03503,1.000
0.10323,0.938
0.20003,0.938
0.04982,1.000
0.05923,1.000
0.34222,0.812
0.17889,0.938
0.36536,0.875
0.39197,0.875
0.25073,0.875
0.09023,1.000
0.60265,0.875
0.18467,0.938
0.20633,0.938
0.01591,1.000
0.10748,1.000
0.23977,0.938
0.19435,0.938
0.32649,0.812
0.14448,0.938
0.12189,0.938
0.43543,0.750
0.08385,1.000
0.05128,1.000
0.01652,1.000
0.16966,0.938
0.09991,1.000
0.13117,1.000
0.33501,0.875
0.06370,1.000
0.23669,0.875
0.29740,0.875
0.27120,0.875
0.28281,0.875
0.01988,1.000
0.24099,0.875
0.13178,0.938
0.05238,1.000
0.29595,0.875
0.98628,0.688
0.19468,0.875
0.22775,0.938
0.07212,1.000
0.06735,1.000
0.04420,1.000
1.02989,0.750
0.45436,0.750
0.35960,0.938
0.35124,0.812
0.33873,0.875
0.07196,1.000
0.05293,1.000
0.09690,0.938
0.01680,1.000
0.48305,0.812
0.13266,0.938
0.25580,0.875
0.21471,0.875
0.15803,0.938
0.05274,1.000
0.28758,0.812
0.40255,0.875
0.12926,0.938
0.17448,0.938
0.59211,0.750
0.03331,1.000
0.06844,1.000
0.36086,0.875
0.47225,0.812
0.04125,1.000
0.13878,0.938
0.26600,0.875
0.20054,0.938
0.43882,0.875
0.55112,0.812
0.04193,1.000
0.48415,0.750
0.10247,1.000
0.05037,1.000
0.14539,0.938
0.25848,0.938
0.30485,0.938
0.09639,1.000
0.16417,0.938
0.25393,0.938
0.25799,0.938
0.07190,1.000
0.31004,0.875
0.49422,0.812
0.53728,0.812
0.47818,0.750
0.40188,0.875
0.70699,0.875
0.08800,1.000
0.27595,0.938
0.62142,0.812
0.21654,0.938
0.39742,0.875
0.32196,0.875
0.32086,0.875
0.10188,1.000
0.17004,0.938
0.07355,1.000
0.30277,0.875
0.04671,1.000
0.09370,1.000
0.09142,1.000
0.21885,0.938
0.28121,0.875
0.33480,0.875
0.19825,0.938
0.21344,0.812
0.20673,0.938
0.02427,1.000
0.08357,0.938
0.08575,0.938
0.12393,0.938
0.22425,0.875
0.29906,0.875
0.23057,0.875
0.20339,0.875
0.07575,1.000
0.09334,1.000
0.01404,1.000
0.03274,1.000
0.40659,0.875
0.78440,0.688
0.30157,0.875
0.05784,1.000
0.03396,1.000
0.38314,0.812
0.43944,0.812
0.19055,0.875
0.07530,1.000
0.27089,0.938
0.06314,1.000
0.24363,0.938
0.43053,0.875
0.50460,0.812
0.15743,0.938
0.16247,0.938
0.50688,0.750
0.25590,0.875
0.08168,1.000
0.21803,0.875
0.27186,0.812
0.24026,0.938
0.01815,1.000
0.36783,0.812
0.47250,0.812
0.39205,0.812
0.09312,0.938
0.00426,1.000
0.03668,1.000
0.10048,1.000
0.25589,0.938
0.25240,0.938
0.11076,1.000
0.12873,0.938
0.31226,0.875
0.40444,0.750
0.05677,1.000
0.08901,0.938
0.30086,0.875
0.07582,1.000
0.12343,0.938
0.06351,1.000
0.16463,0.938
0.20885,0.938
0.06534,1.000
0.35291,0.875
0.10149,0.938
0.23399,0.875
0.06702,1.000
0.12330,0.938
0.23002,0.875
0.19824,0.938
0.06479,1.000
0.46984,0.875
0.45433,0.875
0.14471,0.938
0.20573,0.875
0.06493,1.000
0.05710,1.000
0.24725,0.875
0.04112,1.000
0.09571,0.938
0.04690,1.000
0.02672,1.000
0.40082,0.812
0.23162,0.938
0.12193,0.938
0.05296,1.000
0.05324,1.000
0.09830,0.938
0.02770,1.000
0.08020,1.000
0.28567,0.875
0.12913,0.938
0.16395,0.938
0.01850,1.000
0.34248,0.812
0.52420,0.812
0.20102,0.938
0.02470,1.000
0.20239,0.938
0.21627,0.875
0.28805,0.875
0.13164,1.000
0.12353,0.938
0.15124,0.938
0.12897,0.938
0.06549,1.000
0.13137,0.938
0.08954,1.000
0.06593,1.000
0.09426,0.938
0.24539,0.938
0.20600,0.938
0.63647,0.875
