loss,acc,test_loss,test_acc
0.87086,0.750,0.73935,0.76187
0.52226,0.812,0.78204,0.73562
0.47349,0.812,0.74609,0.75562
0.33166,0.875,0.73672,0.75438
1.32806,0.688,0.75822,0.75813
0.76765,0.688,0.78093,0.75062
0.70591,0.750,0.74245,0.75125
0.60534,0.812,0.77996,0.74875
0.31776,0.938,0.71524,0.76438
0.42627,0.875,0.73262,0.75687
1.31256,0.625,0.75624,0.76500
0.59827,0.750,0.77586,0.74562
0.56012,0.812,0.75213,0.75125
1.21763,0.688,0.76292,0.75375
0.73441,0.688,0.78775,0.74938
0.37121,0.938,0.77997,0.74750
0.36710,0.875,0.76142,0.75625
0.95039,0.625,0.73996,0.75375
0.33689,0.875,0.75366,0.75813
0.89676,0.688,0.74350,0.76313
0.27397,0.875,0.71598,0.75938
0.28725,0.938,0.69908,0.76875
0.43884,0.812,0.70864,0.75938
0.49107,0.812,0.73382,0.75750
0.44873,0.750,0.73728,0.75625
0.59524,0.750,0.78103,0.74375
0.21193,0.875,0.79824,0.74313
0.41163,0.938,0.75486,0.76000
0.89358,0.625,0.76224,0.75813
0.26916,0.938,0.78978,0.73875
0.97250,0.625,0.75859,0.75687
0.75114,0.688,0.74784,0.76313
0.22199,0.938,0.73386,0.75687
0.81600,0.688,0.77407,0.74750
0.75398,0.688,0.73408,0.75875
0.69738,0.812,0.70986,0.76500
0.25817,0.875,0.77001,0.74062
0.53493,0.875,0.76553,0.74187
0.12005,1.000,0.76287,0.75250
0.16400,1.000,0.71771,0.76438
0.62623,0.812,0.73419,0.76250
0.85408,0.812,0.74538,0.75750
0.10322,1.000,0.69817,0.77063
0.48976,0.812,0.77583,0.73750
0.16537,1.000,0.71599,0.75875
0.31986,0.938,0.73297,0.75313
0.49066,0.812,0.72015,0.76313
0.96664,0.812,0.71021,0.76313
0.76241,0.688,0.72771,0.75562
0.14804,1.000,0.74770,0.75562
0.64815,0.812,0.74786,0.75687
0.73171,0.688,0.70887,0.75813
0.57238,0.750,0.73717,0.75500
0.19653,0.938,0.72692,0.76500
0.73550,0.750,0.76644,0.75500
0.51453,0.812,0.75617,0.74500
0.54483,0.812,0.75415,0.74313
0.31806,0.812,0.76944,0.74062
0.76241,0.688,0.71948,0.76125
0.18387,1.000,0.71498,0.75938
0.93392,0.625,0.71371,0.75875
0.41296,0.812,0.69021,0.77687
0.19922,0.938,0.73375,0.76687
0.65271,0.750,0.74475,0.75687
0.49008,0.812,0.74082,0.76438
0.35899,0.812,0.74752,0.74938
0.69415,0.812,0.68347,0.77375
0.64204,0.875,0.70487,0.76250
0.10726,1.000,0.71419,0.75438
0.46006,0.812,0.71247,0.76438
1.26239,0.625,0.73710,0.74813
0.58253,0.875,0.71109,0.76062
0.82560,0.688,0.72928,0.75562
0.33488,0.875,0.74477,0.74687
0.82696,0.812,0.72181,0.76625
0.60979,0.812,0.75101,0.74938
0.62900,0.750,0.72852,0.76000
0.35387,0.875,0.70738,0.76938
0.51046,0.750,0.68930,0.76875
0.34189,0.875,0.71312,0.76875
0.83383,0.750,0.72342,0.76562
0.53917,0.812,0.73492,0.75375
0.35128,0.812,0.69086,0.76750
0.30631,0.875,0.70448,0.75750
0.41200,0.812,0.73253,0.74750
0.30364,1.000,0.75165,0.75000
0.30699,0.875,0.73095,0.75625
0.29731,0.938,0.73916,0.76750
0.66419,0.625,0.71567,0.75687
1.00910,0.688,0.73432,0.75938
0.47011,0.875,0.75732,0.76062
0.70058,0.812,0.79065,0.75813
0.40815,0.875,0.68244,0.77375
0.33923,0.812,0.73124,0.76562
0.27434,0.875,0.68627,0.78187
0.43843,0.938,0.75098,0.76187
0.15370,1.000,0.70418,0.77375
0.30489,0.875,0.73417,0.75500
0.35915,0.875,0.74344,0.76187
0.57064,0.750,0.72944,0.76750
0.33892,0.875,0.70139,0.77750
0.39975,0.938,0.72168,0.76625
0.49902,0.875,0.72382,0.76750
0.43300,0.875,0.71473,0.75875
0.32147,0.938,0.69972,0.76625
0.48453,0.812,0.72645,0.76438
0.66797,0.875,0.75141,0.74938
0.82109,0.688,0.72353,0.76875
0.53172,0.812,0.70878,0.76375
0.19058,0.938,0.69548,0.76187
0.78411,0.750,0.73388,0.75625
0.89207,0.688,0.74127,0.75187
0.55259,0.688,0.71978,0.75687
0.06055,1.000,0.75228,0.75500
0.23772,0.875,0.74712,0.75500
0.58571,0.812,0.75601,0.75500
0.63525,0.875,0.68565,0.77500
0.43021,0.875,0.66151,0.78000
0.22721,0.875,0.69506,0.77625
0.42049,0.812,0.69081,0.77563
0.90616,0.688,0.70281,0.76875
0.69114,0.688,0.70999,0.76375
0.51505,0.812,0.68779,0.77438
0.34256,0.812,0.70282,0.75938
0.61283,0.812,0.69364,0.76625
0.12739,1.000,0.69858,0.77063
0.28868,0.938,0.74179,0.74750
0.36725,0.812,0.68888,0.77187
0.27366,0.875,0.68937,0.76812
0.24827,0.875,0.71699,0.77063
0.32076,0.875,0.68915,0.78063
0.34317,0.875,0.69463,0.77875
0.18001,0.875,0.69651,0.77250
0.23800,0.938,0.70873,0.77125
0.50255,0.812,0.78247,0.75813
0.08113,1.000,0.70819,0.77000
0.29653,0.875,0.72514,0.76187
0.17087,1.000,0.67790,0.77687
0.25156,0.875,0.70782,0.77187
0.53733,0.750,0.72469,0.75000
0.31273,0.875,0.72403,0.77438
0.59074,0.875,0.73739,0.75750
0.59016,0.875,0.71978,0.75875
0.28237,0.938,0.68876,0.77312
0.29004,0.875,0.67644,0.77875
0.17786,1.000,0.68128,0.76812
0.35243,0.875,0.68586,0.78250
0.31601,0.875,0.72659,0.75625
0.48397,0.750,0.70379,0.76875
0.97392,0.750,0.79303,0.73938
0.23516,0.875,0.73649,0.76000
0.23761,0.938,0.71905,0.75938
0.41955,0.938,0.67511,0.78187
1.05458,0.750,0.72584,0.76125
0.39492,0.875,0.68704,0.77063
0.67329,0.812,0.67127,0.77687
0.20404,0.938,0.71525,0.76687
0.60749,0.812,0.69998,0.77687
0.63024,0.812,0.70128,0.76125
0.43900,0.875,0.70033,0.76062
0.28112,0.812,0.67478,0.77625
0.16863,0.938,0.70236,0.76938
0.21005,0.875,0.71218,0.76562
0.52099,0.750,0.71668,0.76187
0.44449,0.875,0.74880,0.75500
0.81041,0.688,0.73473,0.76687
0.45228,0.875,0.73325,0.76187
0.48559,0.875,0.72665,0.76000
0.72248,0.750,0.71507,0.75562
0.34511,0.875,0.67448,0.77938
0.44260,0.875,0.70930,0.76438
0.66299,0.688,0.70145,0.77250
0.18407,0.938,0.71208,0.76187
0.52933,0.875,0.69449,0.78063
0.07646,1.000,0.69831,0.77687
0.20406,0.875,0.67563,0.76562
0.03307,1.000,0.71969,0.76625
0.31856,0.875,0.72608,0.76187
0.66117,0.750,0.77833,0.74125
0.26871,0.938,0.68660,0.78187
0.38299,0.875,0.66721,0.77812
0.41321,0.875,0.65508,0.78438
0.63489,0.812,0.69316,0.77812
0.44770,0.875,0.68924,0.76562
0.19260,0.875,0.67178,0.78125
0.33295,0.938,0.67223,0.77625
0.34984,0.875,0.68594,0.77375
0.16705,0.938,0.68342,0.77125
0.23024,0.938,0.70042,0.77625
0.35222,0.875,0.66180,0.77875
0.52507,0.875,0.65833,0.77563
0.49064,0.750,0.62422,0.79125
0.31906,0.938,0.63743,0.79375
0.06799,1.000,0.65041,0.79438
0.55402,0.812,0.70440,0.77938
0.36475,0.875,0.66648,0.78625
0.55780,0.812,0.65706,0.78750
0.20558,0.938,0.69028,0.77438
0.16597,0.938,0.66958,0.79063
0.22878,0.938,0.65188,0.78750
0.63776,0.875,0.65298,0.79563
0.32628,0.812,0.68035,0.77625
0.45044,0.812,0.71924,0.77563
0.30938,0.875,0.69664,0.77375
0.24878,0.875,0.68920,0.77812
0.48586,0.750,0.66532,0.78500
0.45954,0.750,0.67896,0.78063
0.35819,0.938,0.69359,0.76687
0.25049,0.875,0.71330,0.77312
0.22996,0.875,0.69071,0.76938
0.30076,0.875,0.71183,0.77312
0.34171,0.875,0.67706,0.78000
0.55660,0.812,0.69908,0.77375
0.36466,0.875,0.67635,0.78187
0.35884,0.812,0.66225,0.78687
0.26404,0.938,0.67850,0.77375
0.47955,0.750,0.68769,0.77187
0.40506,0.875,0.68555,0.77750
