loss,acc,test_loss,test_acc
0.36469,0.812,0.72992,0.77687
0.51436,0.812,0.70411,0.77250
0.50517,0.812,0.78568,0.76438
0.79819,0.688,0.77550,0.76313
0.25450,0.938,0.73735,0.75687
0.11516,1.000,0.73193,0.76562
0.74651,0.812,0.74194,0.76750
1.45086,0.688,0.74942,0.75875
0.21110,0.938,0.78780,0.75187
0.21874,0.875,0.73120,0.77375
0.51768,0.625,0.77232,0.75187
0.50956,0.938,0.73989,0.75938
0.45248,0.812,0.78390,0.74500
0.31047,0.875,0.76216,0.74875
0.79945,0.688,0.79440,0.74125
0.33701,0.875,0.78386,0.76562
0.40516,0.812,0.77153,0.75500
0.29868,0.875,0.74332,0.76687
0.33373,0.875,0.83338,0.73562
0.53556,0.812,0.70911,0.77250
0.53515,0.750,0.73475,0.76187
0.52070,0.812,0.71916,0.77063
0.59399,0.812,0.77491,0.75313
1.01019,0.625,0.75396,0.76000
0.61911,0.875,0.77818,0.75562
0.37209,0.875,0.77382,0.75375
0.42888,0.812,0.74844,0.76938
0.83453,0.750,0.78231,0.75187
1.02564,0.562,0.76867,0.75813
0.30393,0.875,0.75807,0.75687
0.23614,0.938,0.71690,0.76500
0.66907,0.750,0.72202,0.76375
1.22145,0.625,0.73705,0.75313
0.61823,0.812,0.74862,0.75313
0.33292,0.938,0.72793,0.76375
0.24383,0.875,0.71790,0.76812
0.43652,0.812,0.76351,0.75000
0.24216,0.875,0.74119,0.76313
0.34131,0.938,0.76620,0.75375
0.53587,0.812,0.79014,0.75125
1.07961,0.750,0.87432,0.75625
0.21747,0.938,0.82708,0.74938
0.10526,1.000,0.80749,0.74438
0.23739,0.875,0.79859,0.74500
0.16288,0.938,0.78918,0.74750
0.82302,0.688,0.78448,0.75438
0.25731,0.875,0.76967,0.76062
0.70552,0.812,0.78270,0.74625
0.55640,0.875,0.77528,0.75375
0.37492,0.875,0.76976,0.75062
0.15751,0.938,0.76766,0.75313
0.21471,0.938,0.77629,0.76250
0.30904,0.875,0.80756,0.76125
0.85767,0.625,0.74783,0.76625
0.33937,0.812,0.82347,0.76250
0.55440,0.875,0.75217,0.76562
0.57238,0.875,0.75852,0.76187
0.22177,1.000,0.75265,0.75687
0.80143,0.812,0.74705,0.75750
0.54329,0.812,0.73062,0.76000
0.99699,0.750,0.74507,0.76375
0.18933,0.938,0.76605,0.75750
0.66652,0.750,0.76993,0.74687
0.35738,0.938,0.76712,0.75250
0.21422,0.938,0.76986,0.75562
0.29373,0.875,0.78354,0.75875
0.08286,1.000,0.72663,0.76875
0.32598,0.875,0.83141,0.73375
0.49296,0.812,0.73547,0.76313
0.33911,0.812,0.75596,0.76313
0.26953,0.938,0.77162,0.76000
0.36285,0.938,0.71889,0.77000
0.22260,0.938,0.74378,0.76625
0.07997,1.000,0.75729,0.75375
0.63159,0.812,0.74525,0.75438
0.23878,0.875,0.77413,0.76000
0.07016,1.000,0.78351,0.75313
0.15127,0.938,0.81273,0.74687
0.63202,0.812,0.81110,0.74875
0.59285,0.750,0.78449,0.76625
0.06701,1.000,0.78387,0.76000
0.50723,0.750,0.82390,0.74750
0.85496,0.812,0.78883,0.74625
0.66582,0.875,0.80143,0.74938
0.86125,0.688,0.85901,0.74875
0.36725,0.875,0.79783,0.75875
0.20588,0.938,0.77950,0.75000
0.14243,0.938,0.81103,0.75562
0.14089,0.938,0.84860,0.74250
0.13661,1.000,0.75813,0.76438
0.44252,0.812,0.76103,0.75750
0.13487,1.000,0.79858,0.75500
0.84159,0.812,0.80843,0.75938
0.19125,0.938,0.79826,0.74813
0.33103,0.875,0.81639,0.73875
0.20071,1.000,0.77894,0.76375
0.33108,0.875,0.78650,0.75938
0.69548,0.750,0.83400,0.73438
0.12958,1.000,0.76910,0.75313
0.13954,0.938,0.75612,0.76062
0.45426,0.812,0.78402,0.75438
1.67775,0.750,0.76581,0.74938
0.74174,0.750,0.78363,0.75313
0.27717,0.938,0.77673,0.75000
0.27218,0.938,0.77745,0.75500
0.39910,0.812,0.80817,0.74562
0.38712,0.938,0.82737,0.75313
0.62117,0.750,0.78144,0.76313
0.29840,0.812,0.81123,0.76375
0.09280,1.000,0.80410,0.76000
0.15659,0.938,0.79426,0.74938
0.10361,1.000,0.80825,0.75187
0.68410,0.875,0.78449,0.75125
0.21329,0.938,0.83500,0.75062
0.22940,0.938,0.88027,0.74562
0.24989,0.875,0.81190,0.75125
0.51719,0.812,0.77244,0.74313
0.56052,0.812,0.78835,0.75250
0.32568,0.812,0.78323,0.75750
0.41245,0.875,0.81246,0.74875
0.07812,1.000,0.78506,0.76125
0.21279,0.938,0.80713,0.73750
0.36317,0.938,0.81958,0.74562
0.27404,0.875,0.80431,0.74562
0.15542,0.875,0.83144,0.74375
0.17432,0.875,0.83184,0.74438
0.18868,0.938,0.80020,0.75375
0.31273,0.938,0.79746,0.74750
0.14665,0.938,0.78493,0.75625
0.57754,0.938,0.77969,0.74313
0.59672,0.812,0.79291,0.73938
0.67512,0.688,0.85961,0.73062
0.31104,0.812,0.79276,0.75750
0.15618,0.938,0.78269,0.75687
0.58504,0.875,0.79548,0.74562
0.19323,0.938,0.78754,0.74000
0.29254,0.938,0.77910,0.76000
0.04721,1.000,0.75583,0.76500
0.14383,0.938,0.79088,0.75687
0.34181,0.875,0.79857,0.75438
0.15530,0.938,0.82882,0.74813
0.34969,0.812,0.84659,0.74875
0.17181,0.938,0.86352,0.74000
0.14132,0.938,0.85463,0.76313
0.53568,0.688,0.81919,0.76000
0.28186,0.875,0.79663,0.75313
0.76684,0.812,0.82303,0.77563
0.32605,0.812,0.81971,0.74625
0.22029,0.875,0.79004,0.75687
0.12933,0.938,0.77065,0.76438
0.38494,0.812,0.78301,0.76000
0.21890,0.812,0.79078,0.75562
0.41362,0.812,0.85922,0.74500
0.25448,0.875,0.77752,0.77125
0.09618,1.000,0.80993,0.75500
0.23117,0.938,0.80723,0.75687
0.11900,1.000,0.77204,0.76438
0.11842,0.938,0.79957,0.75125
0.51288,0.875,0.81065,0.74750
0.21248,0.938,0.84274,0.74938
0.94908,0.750,0.79331,0.75875
0.09089,1.000,0.78711,0.74938
0.17904,0.875,0.80417,0.74625
0.37269,0.875,0.83040,0.75000
0.23312,0.938,0.78963,0.75062
0.88891,0.688,0.78267,0.75938
0.30724,0.812,0.78986,0.75125
0.10581,1.000,0.76412,0.75500
0.45563,0.875,0.76742,0.77000
0.35584,0.875,0.73728,0.76062
0.73648,0.625,0.79395,0.75000
0.06580,1.000,0.77370,0.75125
0.36773,0.812,0.78005,0.75687
0.27522,0.875,0.81104,0.72875
0.14751,0.938,0.79378,0.74687
0.47560,0.875,0.78602,0.76250
0.06001,1.000,0.85702,0.73250
0.09258,1.000,0.81786,0.75562
0.35607,0.938,0.83146,0.73875
0.17970,0.938,0.82330,0.75438
0.51661,0.812,0.83142,0.74625
0.30906,0.812,0.77238,0.76750
0.26912,0.875,0.77843,0.77000
0.05354,1.000,0.78658,0.76250
0.05616,1.000,0.79448,0.75500
0.32245,0.875,0.86118,0.75062
0.37929,0.812,0.83013,0.74250
0.46156,0.938,0.79878,0.74562
0.43489,0.875,0.80266,0.75438
0.11767,1.000,0.78661,0.75687
0.87744,0.812,0.79295,0.75187
0.15575,1.000,0.82754,0.74500
0.52492,0.812,0.78398,0.75250
0.75301,0.750,0.76201,0.76125
0.59407,0.812,0.75388,0.75375
0.55979,0.812,0.76333,0.75375
0.73881,0.750,0.77658,0.75000
1.28007,0.688,0.77254,0.76125
0.11410,0.938,0.76727,0.74000
0.31362,0.938,0.74128,0.76187
0.24298,0.875,0.75386,0.76187
0.24135,0.875,0.77258,0.76250
0.32261,0.875,0.74618,0.76187
0.16017,0.938,0.76805,0.76625
0.08438,1.000,0.75929,0.77250
0.20396,0.938,0.78664,0.76750
0.39854,0.875,0.78158,0.76625
0.55407,0.875,0.79342,0.76250
0.42451,0.875,0.83864,0.75938
0.34238,0.875,0.81374,0.76125
0.04501,1.000,0.79976,0.75750
0.14454,0.938,0.85097,0.74187
0.13073,0.938,0.81385,0.74562
0.23453,0.938,0.84626,0.74813
0.33324,0.875,0.88799,0.75250
0.10821,0.938,0.83037,0.74875
0.18232,0.938,0.79501,0.76313
0.10652,0.938,0.79654,0.74875
0.18009,0.938,0.78478,0.75750
0.46061,0.875,0.80511,0.72625
0.24812,0.938,0.79713,0.75562
0.55404,0.812,0.77781,0.76375
0.08158,1.000,0.79270,0.75375
0.48389,0.812,0.79738,0.75813
0.02650,1.000,0.82932,0.74125
0.58393,0.750,0.81423,0.74313
0.11125,1.000,0.78986,0.75125
